Задонск|ЗадонскийРайон|48|ЛипецкаяОбласть|района
Заинск|ЗаинскийРайон|16|ТатарстанРеспублика|района
Закаменск|ЗакаменскийРайон|03|БурятияРеспублика|района
Заозерный|РыбинскийРайон|24|КрасноярскийКрай|-
Заозерск|(региональное)|51|МурманскаяОбласть|-
ЗападнаяДвина|ЗападнодвинскийРайон|69|ТверскаяОбласть|района
Заполярный|ПеченгскийРайон|51|МурманскаяОбласть|-
Зарайск|ЗарайскийРайон|50|МосковскаяОбласть|района
Заречный|(региональное)|58|ПензенскаяОбласть|-
Заречный|(региональное)|66|СвердловскаяОбласть|-
Заринск|(региональное)|22|АлтайскийКрай|-
Звенигово|ЗвениговскийРайон|12|МарийЭлРеспублика|района
Звенигород|(региональное)|50|МосковскаяОбласть|-
Зверево|(региональное)|61|РостовскаяОбласть|-
Зеленогорск|(региональное)|24|КрасноярскийКрай|-
Зеленогорск|(региональное)|78|Санкт-ПетербургГород|-
Зеленоград|(региональное)|77|МоскваГород|-
Зеленоградск|ЗеленоградскийРайон|39|КалининградскаяОбласть|района
Зеленодольск|ЗеленодольскийРайон|16|ТатарстанРеспублика|района
Зеленокумск|СоветскийРайон|26|СтавропольскийКрай|района
Зерноград|ЗерноградскийРайон|61|РостовскаяОбласть|района
Зея|(региональное)|28|АмурскаяОбласть|-
Зима|(региональное)|38|ИркутскаяОбласть|-
Златоуст|(региональное)|74|ЧелябинскаяОбласть|-
Злынка|ЗлынковскийРайон|32|БрянскаяОбласть|района
Змеиногорск|ЗмеиногорскийРайон|22|АлтайскийКрай|района
Знаменск|(региональное)|30|АстраханскаяОбласть|-
Зубцов|ЗубцовскийРайон|69|ТверскаяОбласть|района
Зуевка|ЗуевскийРайон|43|КировскаяОбласть|района
Ивангород|КингисеппскийРайон|47|ЛенинградскаяОбласть|-
Иваново|(региональное)|37|ИвановскаяОбласть|региона
Ивантеевка|(региональное)|50|МосковскаяОбласть|-
Ивдель|(региональное)|66|СвердловскаяОбласть|-
Игарка|ТуруханскийРайон|24|КрасноярскийКрай|-
Ижевск|(региональное)|18|УдмуртскаяРеспублика|региона
Избербаш|(региональное)|05|ДагестанРеспублика|-
Изобильный|ИзобильненскийРайон|26|СтавропольскийКрай|района
Иланский|ИланскийРайон|24|КрасноярскийКрай|района
Инза|ИнзенскийРайон|73|УльяновскаяОбласть|района
Инкерман|(региональное)|92|СевастопольГород|-
Инсар|ИнсарскийРайон|13|МордовияРеспублика|района
Инта|(региональное)|11|КомиРеспублика|-
Ипатово|ИпатовскийРайон|26|СтавропольскийКрай|района
Ирбит|(региональное)|66|СвердловскаяОбласть|-
Иркутск|(региональное)|38|ИркутскаяОбласть|региона
Иркутск-45|(региональное)|38|ИркутскаяОбласть|-
Исилькуль|ИсилькульскийРайон|55|ОмскаяОбласть|района
Искитим|(региональное)|54|НовосибирскаяОбласть|-
Истра|ИстринскийРайон|50|МосковскаяОбласть|района
Истра-1|ИстринскийРайон|50|МосковскаяОбласть|-
Ишим|ИшимскийРайон|72|ТюменскаяОбласть|района
Ишимбай|ИшимбайскийРайон|02|БашкортостанРеспублика|района
Йошкар-Ола|(региональное)|12|МарийЭлРеспублика|региона
Кадников|СокольскийРайон|35|ВологодскаяОбласть|-
Казань|(региональное)|16|ТатарстанРеспублика|региона
Калач|КалачеевскийРайон|36|ВоронежскаяОбласть|района
Калачинск|КалачинскийРайон|55|ОмскаяОбласть|района
Калач-на-Дону|КалачевскийРайон|34|ВолгоградскаяОбласть|района
Калининград|(региональное)|39|КалининградскаяОбласть|региона
Калининск|КалининскийРайон|64|СаратовскаяОбласть|района
Калтан|(региональное)|42|КемеровскаяОбласть|-
Калуга|(региональное)|40|КалужскаяОбласть|региона
Калязин|КалязинскийРайон|69|ТверскаяОбласть|района
Камбарка|КамбарскийРайон|18|УдмуртскаяРеспублика|района
Каменка|КаменскийРайон|58|ПензенскаяОбласть|района
Каменногорск|ВыборгскийРайон|47|ЛенинградскаяОбласть|-
Каменск-Уральский|(региональное)|66|СвердловскаяОбласть|-
Каменск-Шахтинский|(региональное)|61|РостовскаяОбласть|-
Камень-на-Оби|(региональное)|22|АлтайскийКрай|-
Камешково|КамешковскийРайон|33|ВладимирскаяОбласть|района
Камызяк|КамызякскийРайон|30|АстраханскаяОбласть|района
Камышин|(региональное)|34|ВолгоградскаяОбласть|-
Камышлов|(региональное)|66|СвердловскаяОбласть|-
Канаш|(региональное)|21|ЧувашскаяРеспублика-Чувашия|-
Кандалакша|(региональное)|51|МурманскаяОбласть|-
Канск|(региональное)|24|КрасноярскийКрай|-
Карабаново|АлександровскийРайон|33|ВладимирскаяОбласть|-
Карабаш|(региональное)|74|ЧелябинскаяОбласть|-
Карабулак|(региональное)|06|ИнгушетияРеспублика|-
Карасук|КарасукскийРайон|54|НовосибирскаяОбласть|района
Карачаевск|(региональное)|09|Карачаево-ЧеркесскаяРеспублика|-
Карачев|КарачевскийРайон|32|БрянскаяОбласть|района
Каргат|КаргатскийРайон|54|НовосибирскаяОбласть|района
Каргополь|КаргопольскийРайон|29|АрхангельскаяОбласть|района
Карпинск|(региональное)|66|СвердловскаяОбласть|-
Карталы|КарталинскийРайон|74|ЧелябинскаяОбласть|района
Касимов|(региональное)|62|РязанскаяОбласть|района
Касли|КаслинскийРайон|74|ЧелябинскаяОбласть|района
Каспийск|(региональное)|05|ДагестанРеспублика|-
Катав-Ивановск|Катав-ИвановскийРайон|74|ЧелябинскаяОбласть|района
Катайск|КатайскийРайон|45|КурганскаяОбласть|района
Качканар|(региональное)|66|СвердловскаяОбласть|-
Кашин|КашинскийРайон|69|ТверскаяОбласть|района
Кашира|КаширскийРайон|50|МосковскаяОбласть|района
Кашира-8|КаширскийРайон|50|МосковскаяОбласть|-
Кедровый|(региональное)|70|ТомскаяОбласть|-
Кемерово|(региональное)|42|КемеровскаяОбласть|региона
Кемь|КемскийРайон|10|КарелияРеспублика|-
Керчь|(региональное)|91|КрымРеспублика|-
Кизел|(региональное)|59|ПермскийКрай|-
Кизилюрт|(региональное)|05|ДагестанРеспублика|-
Кизляр|(региональное)|05|ДагестанРеспублика|-
Кимовск|КимовскийРайон|71|ТульскаяОбласть|района
Кимры|(региональное)|69|ТверскаяОбласть|-
Кингисепп|КингисеппскийРайон|47|ЛенинградскаяОбласть|района
Кинель|(региональное)|63|СамарскаяОбласть|-
Кинешма|КинешемскийРайон|37|ИвановскаяОбласть|района
Киреевск|КиреевскийРайон|71|ТульскаяОбласть|района
Киренск|КиренскийРайон|38|ИркутскаяОбласть|района
Киржач|КиржачскийРайон|33|ВладимирскаяОбласть|района
Кириллов|КирилловскийРайон|35|ВологодскаяОбласть|района
Кириши|КиришскийРайон|47|ЛенинградскаяОбласть|района
Киров|КировскийРайон|40|КалужскаяОбласть|района
Киров|(региональное)|43|КировскаяОбласть|региона
Кировград|(региональное)|66|СвердловскаяОбласть|-
Кирово-Чепецк|Кирово-ЧепецкийРайон|43|КировскаяОбласть|района
Кировск|КировскийРайон|47|ЛенинградскаяОбласть|района
Кировск|(региональное)|51|МурманскаяОбласть|-
Кирс|ВерхнекамскийРайон|43|КировскаяОбласть|района
Кирсанов|(региональное)|68|ТамбовскаяОбласть|-
Киселевск|(региональное)|42|КемеровскаяОбласть|-
Кисловодск|(региональное)|26|СтавропольскийКрай|-
Климовск|(региональное)|50|МосковскаяОбласть|-
Клин|КлинскийРайон|50|МосковскаяОбласть|района
Клинцы|(региональное)|32|БрянскаяОбласть|-
Княгинино|КнягининскийРайон|52|НижегородскаяОбласть|района
Ковдор|КовдорскийРайон|51|МурманскаяОбласть|района
Ковров|(региональное)|33|ВладимирскаяОбласть|-
Ковылкино|(региональное)|13|МордовияРеспублика|района
Когалым|(региональное)|86|Ханты-МансийскийАвтономныйокруг-ЮграАвтономныйокруг|-
Кодинск|КежемскийРайон|24|КрасноярскийКрай|района
Козельск|КозельскийРайон|40|КалужскаяОбласть|района
Козловка|КозловскийРайон|21|ЧувашскаяРеспублика-Чувашия|района
Козьмодемьянск|(региональное)|12|МарийЭлРеспублика|-
Кола|КольскийРайон|51|МурманскаяОбласть|района
Кологрив|КологривскийРайон|44|КостромскаяОбласть|района
Коломна|(региональное)|50|МосковскаяОбласть|-
Колпашево|КолпашевскийРайон|70|ТомскаяОбласть|района
Колпино|(региональное)|78|Санкт-ПетербургГород|-
Кольчугино|КольчугинскийРайон|33|ВладимирскаяОбласть|района
Коммунар|ГатчинскийРайон|47|ЛенинградскаяОбласть|-
Комсомольск|КомсомольскийРайон|37|ИвановскаяОбласть|района
Комсомольск-на-Амуре|(региональное)|27|ХабаровскийКрай|-
